b'"s","o","p"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicky"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Unisex_given_names"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_French"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:English_unisex_given_names"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicci_(disambiguation)"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nikki_(disambiguation)"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_(singer)"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Aycox"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Hunter"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Minaj"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Paull"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_S\xc3\xb8rensen"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nickie"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Chapman"
"http://dbpedia.org/resource/Brandy","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Clyne"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicky"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Unisex_given_names"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_French"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:English_unisex_given_names"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicci_(disambiguation)"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nikki_(disambiguation)"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_(singer)"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Aycox"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Hunter"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Minaj"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Paull"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_S\xc3\xb8rensen"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nickie"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Chapman"
"http://dbpedia.org/resource/Seinfeld","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Clyne"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicky"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Unisex_given_names"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_French"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:English_unisex_given_names"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicci_(disambiguation)"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nikki_(disambiguation)"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_(singer)"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Aycox"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Hunter"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Minaj"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Paull"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_S\xc3\xb8rensen"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nickie"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Chapman"
"http://dbpedia.org/resource/Saint-Brice,_Charente","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_Clyne"
"http://dbpedia.org/resource/Nooka","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicky"
"http://dbpedia.org/resource/Nooka","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:Unisex_given_names"
"http://dbpedia.org/resource/Nooka","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Nicki_French"
"http://dbpedia.org/resource/Nooka","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Category:English_unisex_given_names"
