b'"s","o","p" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(Western_Australia)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(boolean_algebra)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(chess)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(parliamentary)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(planets)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_(politics)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_Front_Bench_(Ireland)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_Party_(United_States)" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposition_proceeding" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Square_of_Opposition" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/The_Opposition" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Binary_opposition" , Adams , moaning , Opposition
"http://dbpedia.org/resource/Adam\'s","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Opposite_(disambiguation)" , Adams , moaning , Opposition
' , Adams , moaning , Opposition
