b'"s","o","p" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Application_software" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Asbury_Park_Press" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/APP_(film)" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Acute-phase_protein" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Adjusted_Peak_Performance" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Advanced_Placement_Program" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/African_Prisons_Project" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Alan_Parsons_Project" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Alberta_Provincial_Police" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/All_People\'s_Party_(disambiguation)" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/American_Principles_Project" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Amyloid_precursor_protein" , Amazon , developing , App
"http://dbpedia.org/resource/Amazons_(disambiguation)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Animal_Protection_Party" , Amazon , developing , App
' , Amazon , developing , App
