b'"s","o","p" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/File:OECD_gender_wage_gap.svg" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Canadian_Human_Rights_Act" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Human_Rights_Act_1998" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/New_Zealand" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Social_stigma" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Ethnic_group" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Apostasy_in_Islam" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Ageism" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Antiziganism" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Violence_Against_Women_Act" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Drug_policy_reform" , Airbnb , sued , Discrimination
"http://dbpedia.org/resource/Tourism","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Title_VII" , Airbnb , sued , Discrimination
' , Airbnb , sued , Discrimination
