b'"s","o","p" , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/The_Late_Late_Show_(season_47)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Steve_McManaman","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Trofeo_Alfredo_Di_St\xc3\xa9fano","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2003\xe2\x80\x9304_in_English_football","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2015_UEFA_Champions_League_Final","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2015\xe2\x80\x9316_UEFA_Champions_League","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2016_UEFA_Champions_League_Final","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2014_Copa_del_Rey_Final","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2014\xe2\x80\x9315_La_Liga","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2014\xe2\x80\x9315_Liverpool_F.C._season","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/2014\xe2\x80\x9315_UEFA_Champions_League_group_stage","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Anwar_El_Ghazi","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Brazil_at_the_2010_FIFA_World_Cup","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Iran_at_the_2006_FIFA_World_Cup","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Manchester_derby","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Pro_Evolution_Soccer_2008","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
"http://dbpedia.org/resource/Rabona","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Juventus_F.C." , Cristiano_Ronaldo , sth , Juventus
' , Cristiano_Ronaldo , sth , Juventus
