b'"s","o","p" , Australia , crackling , Perth
"http://dbpedia.org/resource/Council_for_Scientific_and_Industrial_Research","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Paul_Jennings_(British_author)","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Mount_Melbourne","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Alfred_Park","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Austrasia","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Herald_Sun","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Action_Park","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/The_Sun-Herald","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Camden_Line","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Australian_cricket_team_in_New_Zealand_in_2015\xe2\x80\x9316","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Australian_cricket_team_in_New_Zealand_in_2016\xe2\x80\x9317","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Perth_(suburb)" , Australia , crackling , Perth
"http://dbpedia.org/resource/Bushranger","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Education_in_Australia","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/List_of_tram_and_light_rail_transit_systems","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Tram","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/2009_Australian_football_code_crowds","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Friends_of_the_Earth_Australia","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/List_of_university_hospitals","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Lists_of_tourist_attractions","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Health_care_in_Australia","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/List_of_former_Australian_railway_companies","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/List_of_reggae_festivals","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Nuclear_energy_policy_by_country","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Media_coverage_of_climate_change","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Plain_tobacco_packaging","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/2006_Australian_football_code_crowds","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Coalbed_methane","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Mining_accident","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/List_of_countries_by_minimum_driving_age","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Health_in_Australia","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/History_of_monarchy_in_Australia","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Australian_women_in_World_War_I","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
"http://dbpedia.org/resource/Indigenous_Australians_and_crime","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://dbpedia.org/resource/Economy_of_Western_Australia" , Australia , crackling , Perth
' , Australia , crackling , Perth
