b'"s","o","p" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_FM" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_Island" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_Kelso" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_and_George" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_cut" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bob_the_Killer_Goldfish" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bobby_(disambiguation)" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Boys_of_Bangladesh" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Bug-out_bag" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Building_Opportunities_with_Business" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Buy_on_board" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Hurricane_Bob_(disambiguation)" , Alice , loves , Bob
"http://dbpedia.org/resource/Alice_(movie)","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Killer_BOB" , Alice , loves , Bob
' , Alice , loves , Bob
