b'"s","o","p" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Norwegian_language" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Research" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Scientific_method" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Spanish_language" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Syntax" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/What_About_Bob%3F" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Job_interview" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Leo_Tolstoy" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/M\xc4\x81ori_people" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Kanzi" , Abbott , appeared , Question
"http://dbpedia.org/resource/The_Abbott","http://dbpedia.org/ontology/wikiPageWikiLink","http://dbpedia.org/resource/Exam" , Abbott , appeared , Question
' , Abbott , appeared , Question
